,from_node,to_node,edge_tt,edge_var,distance
,136820.0,136821.0,,0.0,4.5
,136862.0,136863.0,12.29,0.0,69.09
,136868.0,136869.0,2.26,0.0,15.43
,136870.0,136871.0,24.12,0.0,146.66
,136874.0,136875.0,55.15,0.0,803.46
,136882.0,136883.0,42.62,0.0,438.0
,136904.0,136905.0,21.09,0.0,138.37
,136906.0,136907.0,13.64,0.0,89.78
,136908.0,136909.0,5.43,0.0,35.76
,136910.0,136911.0,11.97,0.0,78.03
,136912.0,136913.0,30.02,0.0,229.71
,136934.0,136935.0,18.45,0.0,131.29
,136936.0,136937.0,11.78,0.0,84.41
,136940.0,136941.0,7.39,0.0,59.23
,136986.0,136987.0,9.38,0.0,65.6
,136988.0,136989.0,9.53,0.0,69.49
,136990.0,136991.0,13.08,0.0,97.56
,136992.0,136993.0,13.56,0.0,100.77
,137006.0,137007.0,14.68,0.0,194.03
,137008.0,137009.0,15.27,0.0,206.53
,137016.0,137017.0,11.28,0.0,99.03
,137020.0,137021.0,12.53,0.0,159.9
,137048.0,137049.0,13.37,0.0,104.06
,137052.0,137053.0,11.49,0.0,160.17
,137054.0,137055.0,11.86,0.0,173.2
,137122.0,137123.0,14.1,0.0,107.45
,137126.0,137127.0,25.66,0.0,187.07
,137128.0,137129.0,10.81,0.0,130.49
,137130.0,137131.0,19.03,0.0,210.0
,137132.0,137133.0,12.1,0.0,159.12
,137136.0,137137.0,7.66,0.0,101.14
,137138.0,137139.0,2.87,0.0,36.21
,137150.0,137151.0,15.64,0.0,127.92
,137152.0,137153.0,4.23,0.0,53.85
,137154.0,137155.0,5.73,0.0,24.2
,137158.0,137159.0,6.66,0.0,78.04
,137160.0,137161.0,10.5,0.0,116.37
,137162.0,137163.0,2.25,0.0,31.12
,137164.0,137165.0,15.72,0.0,64.77
,137166.0,137167.0,11.91,0.0,158.33
,137174.0,137175.0,19.7,0.0,252.35
,137186.0,137187.0,21.7,0.0,51.01
,137188.0,137189.0,12.84,0.0,51.18
,137190.0,137191.0,23.8,0.0,296.47
,137192.0,137193.0,7.24,0.0,89.42
,137194.0,137195.0,6.99,0.0,87.53
,137196.0,137197.0,13.93,0.0,29.55
,137198.0,137199.0,2.56,0.0,32.75
,137200.0,137201.0,2.2,0.0,28.11
,137202.0,137203.0,12.16,0.0,67.94
,137210.0,137211.0,20.06,0.0,239.78
,137212.0,137213.0,4.9,0.0,51.77
,137214.0,137215.0,6.43,0.0,67.06
,137216.0,137217.0,4.54,0.0,46.41
,137218.0,137219.0,18.64,0.0,214.16
,137220.0,137221.0,15.05,0.0,195.37
,137222.0,137223.0,22.98,0.0,234.21
,137342.0,137343.0,18.4,0.0,133.95
,137344.0,137345.0,24.96,0.0,182.45
,137364.0,137365.0,45.5,0.0,365.3
,137378.0,137379.0,16.32,0.0,217.18
,137398.0,137399.0,64.76,0.0,598.98
,137434.0,137435.0,8.77,0.0,69.48
,137512.0,137513.0,20.31,0.0,144.91
,137532.0,137533.0,0.37,0.0,2.03
,137534.0,137535.0,21.52,0.0,174.18
,137546.0,137547.0,12.85,0.0,67.35
,137548.0,137549.0,10.73,0.0,125.81
,137550.0,137551.0,2.28,0.0,31.66
,137558.0,137559.0,16.28,0.0,47.26
,137570.0,137571.0,15.22,0.0,104.71
,137590.0,137591.0,2.73,0.0,18.33
,137592.0,137593.0,12.89,0.0,42.31
,137600.0,137601.0,8.16,0.0,24.02
,137602.0,137603.0,23.19,0.0,254.51
,137604.0,137605.0,3.31,0.0,48.04
,137606.0,137607.0,12.93,0.0,188.22
,137608.0,137609.0,4.97,0.0,72.03
,137610.0,137611.0,42.09,0.0,593.5
,137612.0,137613.0,6.49,0.0,48.5
,137616.0,137617.0,12.19,0.0,43.72
,137622.0,137623.0,3.26,0.0,42.2
,137638.0,137639.0,86.43,0.0,1202.23
,137640.0,137641.0,36.39,0.0,440.42
,137652.0,137653.0,2.96,0.0,16.73
,137656.0,137657.0,11.79,0.0,154.42
,137658.0,137659.0,11.54,0.0,151.14
,137668.0,137669.0,9.93,0.0,31.84
,137670.0,137671.0,6.65,0.0,71.79
,137672.0,137673.0,3.74,0.0,50.98
,137674.0,137675.0,10.3,0.0,138.59
,137676.0,137677.0,16.01,0.0,185.37
